conv,224,224,7,7,3,64,2
activation,maxpool,3,3,64,2
conv,56,56,1,1,64,64,1
conv,56,56,3,3,64,64,1
conv,56,56,1,1,64,256,1
conv,56,56,1,1,64,256,1
activation,adde
conv,56,56,1,1,64,64,1
conv,56,56,3,3,64,64,1
conv,56,56,1,1,64,256,1
activation,adde
conv,56,56,1,1,64,64,1
conv,56,56,3,3,64,64,1
conv,56,56,1,1,64,256,1
activation,adde
conv,56,56,1,1,256,512,2
conv,56,56,1,1,256,128,2
conv,28,28,3,3,128,128,1
conv,28,28,1,1,128,512,1
activation,adde
conv,28,28,1,1,512,128,1
conv,28,28,3,3,128,128,1
conv,28,28,1,1,128,512,1
activation,adde
conv,28,28,1,1,512,128,1
conv,28,28,3,3,128,128,1
conv,28,28,1,1,128,512,1
activation,adde
conv,28,28,1,1,512,128,1
conv,28,28,3,3,128,128,1
conv,28,28,1,1,128,512,1
activation,adde
conv,28,28,1,1,512,256,2
conv,14,14,3,3,256,256,1
conv,28,28,1,1,512,1024,2
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,256,1
conv,14,14,3,3,256,256,1
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,256,1
conv,14,14,3,3,256,256,1
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,256,1
conv,14,14,3,3,256,256,1
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,256,1
conv,14,14,3,3,256,256,1
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,256,1
conv,14,14,3,3,256,256,1
conv,14,14,1,1,256,1024,1
activation,adde
conv,14,14,1,1,1024,512,2
conv,7,7,3,3,512,512,1
conv,7,7,1,1,512,2048,1
conv,14,14,1,1,1024,2048,2
activation,adde
conv,7,7,1,1,2048,512,1
conv,7,7,3,3,512,512,1
conv,7,7,1,1,512,2048,1
activation,adde
conv,7,7,1,1,2048,512,1
conv,7,7,3,3,512,512,1
conv,7,7,1,1,512,2048,1
activation,adde